id	pid	title	authors	venue	source	year
50|doi_________::462e27459db954b494ed31191bd8b371	10.7788/afd.2006.52.jg.335	Ein neues Bild von der Urkunde: Peter Rück und seine Schüler,Ein neues Bild von der Urkunde: Peter Rück und seine Schüler	Peter Worm	Archiv für Diplomatik	Crossref	2006-01-01
50|doi_dedup___::37f8919fa10ab7b8ff949196ad823212	10.1145/948005.948051,10.2139/ssrn.429762,10.1007/1-4020-8090-5_15	Privacy, economics, and price discrimination on the Internet,Privacy, economics, and price discrimination on the Internet	Andrew Odlyzko	Proceedings of the 5th international conference on Electronic commerce  - ICEC '03	Crossref,ICEC,Economics of Information Security ISBN: 1402080891	2003-01-01
50|doi_dedup___::46a5ae8659ed7e78c5fb0f5387e0baff	10.1007/978-3-319-56300-8_14,11380/1084436	Layout Analysis and Content Classification in Digitized Books,Layout Analysis and Content Classification in Digitized Books	Andrea Corbelli,Lorenzo Baraldi,Rita Cucchiara,Fabrizio Balducci,Costantino Grana	\N	Crossref,Communications in Computer and Information Science ISBN: 9783319562995,IRCDL	2017-01-01
50|doi_________::71899ceb245f6fdbfcb1969c69e95e9b	10.1093/0199246270.001.0001	Essays on Actions and Events	Donald Davidson	\N	Crossref	2001-09-27
50|doi_________::45b99ce332bf70449eac8503c7fceb92	10.1145/2018396.2018414	'Natural' search user interfaces,'Natural' search user interfaces	Marti A. Hearst	Communications of the ACM	Crossref	2011-11-01
50|doi_dedup___::4230ee22108af03ea5242c4afd723aff	10.1045/september2007-gold-pt1	A Cyberinfrastructure Primer for Librarians,Cyberinfrastructure, Data, and Libraries, Part 1: A Cyberinfrastructure Primer for Librarians,Cyberinfrastructure, Data, and Libraries, Part 1	Anna Keller Gold	D-Lib Magazine	Crossref	2007-09-01
50|doi_dedup___::72ae7105626d370f1d209f13f272a49e	10.1109/radio.2016.7772043	An improved technique based on Zadoff-Chu sequences for distance measurements,An improved technique based on Zadoff-Chu sequences for distance measurements	Giuseppe Coviello,Gianfranco Avitabile,G. Piccinni	2016 IEEE Radio and Antenna Days of the Indian Ocean (RADIO)	Crossref	2016-10-01
50|doi_dedup___::f89086b4a8b8b427f4d99c2a8bb2be29	10.1109/cvpr.2018.00855,10.48550/arxiv.1709.04595,1709.04595	A2-RL: Aesthetics Aware Reinforcement Learning for Image Cropping,A2-RL: Aesthetics Aware Reinforcement Learning for Image Cropping	Debang Li,Junge Zhang,Kaiqi Huang,Huikai Wu	2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition	Crossref,CVPR	2018-06-01
50|doi_dedup___::01316fa9e78eb7a440272466bfc995e0	10.1109/cisis.2013.105	Visualization of Character's Intentions in Dramatic Media,Visualization of Character's Intentions in Dramatic Media	Rossana Damiano,Vincenzo Lombardo,Antonio Pizzo,Antonio Lieto	2013 Seventh International Conference on Complex, Intelligent, and Software Intensive Systems	Crossref,CISIS	2013-07-01
50|doi_dedup___::a9a0b1aa5b2af7be45851407a8aa5fba	10.1073/pnas.98.2.404,10.48550/arxiv.cond-mat/0007214,11149952,PMC14598,cond-mat/0007214	The structure of scientific collaboration networks,The structure of scientific collaboration networks	Mark Newman	Proceedings of the National Academy of Sciences	Crossref	2001-01-09
50|doi_dedup___::d351af14e5dbc32fce9b79a74743f20c	10.1016/j.procs.2014.10.004	Future Trends in Digital Libraries and Scientific Communications,Future Trends in Digital Libraries and Scientific Communications	Gaby Appleton	Procedia Computer Science	Crossref,IRCDL	2014-01-01
50|doi_________::a0148757216e58d249d4adb8285d06f8	10.1108/s1876-0562(2012)0000006013	Education for Digital Librarians: Some European Observations,Education for Digital Librarians: Some European Observations	Anna Maria Tammaro,Sue Myburgh	\N	Crossref	2012-12-04
50|doi_________::e583eb38db294b692ad09071ee0a5661	10.1145/988672.988675	Understanding user goals in web search,Understanding user goals in web search	Daniel E. Rose,Danny Levinson	Proceedings of the 13th international conference on World Wide Web	Crossref,WWW	2004-05-17
50|doi_________::60b9c5c511c14ea1ddf9d8c6f72dcc20	10.3789/isqv25no2.2013.06	Social Signals Reflect Academic Impact: What it Means When a Scholar Adds a Paper to Mendeley,Social Signals Reflect Academic Impact: What it Means When a Scholar Adds a Paper to Mendeley	William Gunn	Information Standards Quarterly	Crossref	2013-01-01
50|doi_________::ca9d9497a7b709ee97bb7185452b9c15	10.1145/511446.511478	A machine learning based approach for table detection on the web,A machine learning based approach for table detection on the web	Jianying Hu,Yalin Wang	Proceedings of the 11th international conference on World Wide Web	Crossref,WWW	2002-05-07
50|doi_________::93983ebd86599255ba46ddeb6297510d	10.1145/544220.544333	an intelligent web-based medical meta-search system,MedTextus: an intelligent web-based medical meta-search system,MedTextus	Yongchi Chen,Bin Zhu,Hsinchun Chen,Gondy Leroy	Proceedings of the 2nd ACM/IEEE-CS joint conference on Digital libraries	Crossref,JCDL	2002-07-14
50|doi_________::df05285ba5fc3e690b091646da3b3b83	10.1145/585058.585081	Towards a semantics for XML markup,Towards a semantics for XML markup	David Dubin,C. M. Sperberg-McQueen,Allen H. Renear	Proceedings of the 2002 ACM symposium on Document engineering	Crossref,ACM Symposium on Document Engineering	2002-11-08
50|doi_dedup___::01d99b98609c66a0d3be85c3fdabdac6	10.1007/978-3-540-24750-0_11,10.1007/978-3-540-92673-3_12	Ontology and the Lexicon,Ontology and the Lexicon	Graeme Hirst	\N	Crossref,Handbook on Ontologies ISBN: 9783662119570,Handbook on Ontologies ISBN: 9783540709992,Handbook on Ontologies	2004-01-01
50|doi_________::ea3bc66ed02e9c17c87e9299eae568d2	10.1080/00987913.2011.10765376	Scholarly Communication 2.0: Exploring Researchers' Opinions on Web 2.0 for Scientific Knowledge Creation, Evaluation and Dissemination	Diego Ponte,Judith Simon	Serials Review	Crossref	2011-09-01
50|doi_dedup___::5ac3979235ba98ef166f38249ec299cb	10.1007/s13735-012-0019-z	New Grand Challenge for Multimedia Information Retrieval: Bridging the Utility Gap,Bridging the Utility Gap,New grand challenge for multimedia information retrieval: bridging the utility gap	Alan Hanjalic	International Journal of Multimedia Information Retrieval	Crossref,Delft University of Technology,International Journal of Multimedia Information Retrieval, 1 (3), 2012; authors version,TITLE=International Journal of Multimedia Information Retrieval, 1 (3), 2012; authors version	2012-09-07
50|doi_________::bdbdcc6af874e53b72431a6e0874c5d0	10.1109/iccv.1999.790410	Object recognition from local scale-invariant features,Object recognition from local scale-invariant features	David G. Lowe	Proceedings of the Seventh IEEE International Conference on Computer Vision	Crossref,ICCV	1999-01-01
50|doi_dedup___::2fdb19f9b1c67382dbc3a397cb1cb55e	10.1016/j.artint.2010.09.005	Weighted argument systems: Basic definitions, algorithms, and complexity results,Weighted argument systems: Basic definitions, algorithms, and complexity results	Paul E. Dunne,Anthony Hunter,Michael Wooldridge,Peter McBurney,Simon Parsons	Artificial Intelligence	Crossref	2011-02-01
50|doi_dedup___::30d4c8fed63214519a507d1cc94a4d5b	10.1073/pnas.0735871100,12676999,PMC404686	Assessing experimentally derived interactions in a small world,Assessing experimentally derived interactions in a small world	Debra S. Goldberg,Frederick P. Roth	Proceedings of the National Academy of Sciences	Crossref	2003-04-03
50|doi_________::7fe80fa869583791781dd27760703b82	10.1145/122860.122874	Integrating query thesaurus, and documents through a common visual representation,Integrating query thesaurus, and documents through a common visual representation	Richard H. Fowler,Wendy A. L. Fowler,Bradley A. Wilson	Proceedings of the 14th annual international ACM SIGIR conference on Research and development in information retrieval	Crossref,SIGIR	1991-09-01
50|doi_dedup___::33b19257226ed9cdcfed552c5c8ebb1e	10.6084/m9.figshare.824314.v1,10.6084/m9.figshare.824314	D4.1 Conceptual model of interoperability	ODIN Consortium,Fenner, Martin,Thorisson, Gudmundur,Ruiz, Sergio,Brase, Jan	\N		2013-01-01
50|doi_dedup___::4d20417654e56a533fb50aa076e0263f	10.1007/3-540-45068-8_80	Swarm intelligent surfing in the web,Swarm Intelligent Surfing in the Web	Jie Wu,Karl Aberer	\N	Crossref,Lecture Notes in Computer Science ISBN: 9783540405221,ICWE	2003-01-01
50|doi_dedup___::8879a5601d3fdcd3567cfe1f33004ffb	10.1126/science.aao0185,PMC5949209,29496846,30890805	Science of science,Science of science	Filippo Radicchi,Carl T. Bergstrom,Brian Uzzi,Dirk Helbing,Katy Börner,Roberta Sinatra,Roberta Sinatra,Ludo Waltman,Albert-László Barabási,Albert-László Barabási,Albert-László Barabási,Alessandro Vespignani,Alessandro Vespignani,James A. Evans,Dashun Wang,Santo Fortunato,Staša Milojević,Alexander M. Petersen	Science	Crossref	2018-03-02
50|doi_________::e6a2f0200ea95ffbb7e0a9e16ca07ee8	10.1145/775152.775226	opinion extraction and semantic classification of product reviews,Mining the peanut gallery: opinion extraction and semantic classification of product reviews,Mining the peanut gallery	David M. Pennock,Kushal B. Dave,Steve Lawrence	Proceedings of the twelfth international conference on World Wide Web  - WWW '03	Crossref,WWW	2003-01-01
50|doi_dedup___::69cbcecfae7fa60ddd50176f4bbb08ae	10.6017/ital.v27i1.3262	Content-Based Information Retrieval and Digital Libraries,Content-Based Information Retrieval and Digital Libraries	Zao Liu,Gary \\"Gang\\" Wan	Information Technology and Libraries	Crossref,Information Technology and Libraries; Vol 27, No 1 (2008); 41-47,Scopus - Elsevier,Information Technology and Libraries, Vol 27, Iss 1, Pp 41-47 (2008),Information Technology and Libraries; Vol 27 No 1 (2008); 41-47,2163-5226,0730-9295	2008-03-01
50|doi_________::31b9b936cbd1d4e0ad45cefd6f5aed9a	10.1145/290941.291025	The Use of MMR and Diversity-Based Reranking for Reodering Documents and Producing Summaries,The use of MMR, diversity-based reranking for reordering documents and producing summaries	Jaime G. Carbonell,Jade Goldstein	Proceedings of the 21st annual international ACM SIGIR conference on Research and development in information retrieval	Crossref	1998-08-01
50|doi_________::458d95d2ed201249d39a15158166cef8	10.2307/1907665	The Human Use of Human Beings: Cybernetics and Society,The Human Use of Human Beings: Cybernetics and Society	K. E. Boulding,Norbert Wiener	Econometrica	Crossref	1952-10-01
50|doi_________::9c77fee4c55cb459c5f6d23d22442140	10.1145/2938640	A Survey of Twitter Sentiment Analysis Methods,Like It or Not: A Survey of Twitter Sentiment Analysis Methods,Like It or Not	Fabio Crestani,Anastasia Giachanou	ACM Computing Surveys	Crossref	2016-06-30
50|doi_________::bf73c920d4ea7b3945cb73128cf1ee1f	10.1109/iwbf.2015.7110241	Feature-based dynamic signature verification under forensic scenarios,Feature-based dynamic signature verification under forensic scenarios	Ruben Tolosana,Julian Fierrez,Javier Ortega-Garcia,Ruben Vera-Rodriguez	3rd International Workshop on Biometrics and Forensics (IWBF 2015)	Crossref,IWBF	2015-03-01
50|doi_dedup___::12ff5832cb5c2996b9032a9e9b6f4a08	10.1007/978-3-642-36415-0_10	Medical (visual) information retrieval,Medical (Visual) Information Retrieval	Henning Müller	\N	Crossref,Information Retrieval Meets Information Visualization ISBN: 9783642364143,PROMISE Winter School	2013-01-01
50|doi_________::498cc094af4d6222e4364eb9bf0d0eba	10.1087/20100308	Article 50 million: an estimate of the number of scholarly articles in existence,Article 50 million: an estimate of the number of scholarly articles in existence	Arif E. Jinha	Learned Publishing	Crossref	2010-07-01
50|doi_________::2d9cc8b1aa514348dc015dbe3bc75089	10.1145/1141753.1141800	Keyphrase extraction-based query expansion in digital libraries,Keyphrase extraction-based query expansion in digital libraries	Il-Yeol Song,Min Song,Robert B. Allen,Zoran Obradovic	Proceedings of the 6th ACM/IEEE-CS joint conference on Digital libraries	Crossref,JCDL	2006-06-11
50|doi_________::506da6098b005cee8d1c5aa165d3ebb5	10.26530/oapen_345474	Scholarly Communication and Academic Presses,Scholarly Communication and Academic Presses	Anna Maria Tammaro	\N	Crossref,Scholarly Communication and Academic Presses	2002-01-01
50|doi_________::b27d4043f4828970ea8fc7a76d6d98e3	10.1145/1458082.1458105	An empirical study of required dimensionality for large-scale latent semantic indexing applications,An empirical study of required dimensionality for large-scale latent semantic indexing applications	Roger B. Bradford	Proceedings of the 17th ACM conference on Information and knowledge management	Crossref,CIKM	2008-10-26
50|doi_dedup___::f97fddc088a6900bd6795ef62e86ad14	10.1045/september2012-manghi	OpenAIREplus: the European Scholarly Communication Data Infrastructure,OpenAIREplus: the European Scholarly Communication Data Infrastructure	Paolo Manghi,T. J. Smith,Jochen Schirrwagen,Natalia Manola,Lukasz Bolikowski	D-Lib Magazine	Crossref,D-Lib magazine 18 (2012): 1–8. doi:10.1045/september2012-manghi,info:cnr-pdr/source/autori:Manghi P.; Bolikowski L.; Manola N.; Schirrwagen J.; Smith T./titolo:OpenAIREplus: the European Scholarly Communication Data Infrastructure/doi:10.1045%2Fseptember2012-manghi/rivista:D-Lib magazine/anno:2012/pagina_da:1/pagina_a:8/intervallo_pagine:1–8/volume:18	2012-09-01
50|doi_________::487f8ceb3c253a6e294060380550d6e0	10.1145/3274658	A Perspective Analysis of Handwritten Signature Technology,A Perspective Analysis of Handwritten Signature Technology	Miguel Ferrer,Muhammad Imran Malik,Donato Impedovo,Giuseppe Pirlo,Réjean Plamondon,Moises Diaz	ACM Computing Surveys	Crossref	2019-01-28
50|doi_________::e76c0f64340108e0753beb418bd3df20	10.1007/978-3-540-89982-2_22	On the Efficient Execution of ProbLog Programs,On the Efficient Execution of ProbLog Programs	Ricardo Rocha,Luc De Raedt,Bart Demoen,Angelika Kimmig,Vítor Santos Costa	\N	Crossref,Logic Programming ISBN: 9783540899815,ICLP	2008-01-01
50|doi_dedup___::3e3b805dad628947d1712bff9fead02d	10.1145/3196826,10.48550/arxiv.1708.02702,1708.02702,11245.1/25967332-3a22-4d3b-a7fe-c384a5180930	Neural Vector Spaces for Unsupervised Information Retrieval,Neural Vector Spaces for Unsupervised Information Retrieval	Maarten de Rijke,Evangelos Kanoulas,Christophe Van Gysel	ACM Transactions on Information Systems	Crossref,ACM Transactions on Information Systems, 36(4):38. Association for Computing Machinery (ACM),urn:issn:1046-8188,VOLUME=36;ISSUE=4;ISSN=1046-8188;TITLE=ACM Transactions on Information Systems	2018-06-26
50|doi_dedup___::efe5a572390dfcfe88ead1e9298c8f53	10.1002/asi.23910	Toward an anatomy of IR system component performances,Toward an anatomy of IR system component performances	Nicola Ferro,Gianmaria Silvello	Journal of the Association for Information Science and Technology	Crossref	2017-11-17
50|doi_________::13a70158072c9d2031d65abe8333efda	10.1007/3-540-45715-1_11	An Adapted Lesk Algorithm for Word Sense Disambiguation Using WordNet,An Adapted Lesk Algorithm for Word Sense Disambiguation Using WordNet	Ted Pedersen,Satanjeev Banerjee	\N	Crossref,Computational Linguistics and Intelligent Text Processing ISBN: 9783540432197,CICLing	2002-01-01
50|doi_________::e3c8733530526391b74909104066880c	10.1007/3-540-45411-x	7th Congress of the Italian Association for Artificial Intelligence Bari, Italy, September 25–28, 2001 Proceedings,AI*IA 2001: Advances in Artificial Intelligence,AI*IA 2001: Advances in Artificial Intelligence	Floriana Esposito	\N	Crossref,Lecture Notes in Computer Science ISBN: 9783540426011,AI*IA 2001: Advances in Artificial Intelligence	2001-01-01
50|doi_________::141dabe88e7152c7f51535ed7f4c63d5	10.1002/(sici)1097-4571(199009)41:6<391::aid-asi1>3.0.co;2-9	Indexing by Latent Semantic Analysis,Indexing by latent semantic analysis	Susan T. Dumais,Scott Deerwester,George W. Furnas,Richard A. Harshman,Thomas K. Landauer	Journal of the American Society for Information Science	Crossref	1990-09-01
50|doi_________::69901cb22adda007a2b202ccab044c68	10.3115/1572392.1572402	Mining a Lexicon of Technical Terms and Lay Equivalents,Mining a lexicon of technical terms and lay equivalents	Komal Sutaria,Noémie Elhadad	Proceedings of the Workshop on BioNLP 2007 Biological, Translational, and Clinical Language Processing - BioNLP '07	Crossref,BioNLP@ACL	2007-01-01
50|doi_________::ce27df64dbae5dc67da6cc8ba7408773	10.1007/978-1-4614-3831-1	Analysis, Retrieval and Delivery of Multimedia Content,Analysis, Retrieval and Delivery of Multimedia Content	Riccardo Leonardi,Pierangelo Migliorati,Nicola Adami,Andrea Cavallaro	\N	Crossref,Lecture Notes in Electrical Engineering ISBN: 9781461438304,Analysis, Retrieval and Delivery of Multimedia Content	2013-01-01
50|doi_________::e137d8e5a08df40c14ac997edc01bf3d	10.1016/j.nurpra.2010.11.020	Health Literacy: The Road to Improved Health Outcomes,Health Literacy: The Road to Improved Health Outcomes	Laurie Anne Ferguson,Roberta Pawlak	The Journal for Nurse Practitioners	Crossref	2011-02-01
50|doi_dedup___::02b71c4ca0a52c8ac37376e4d1f1158e	10.1007/978-3-319-41938-1_13	Modeling the Concept of Movie in a Software Architecture for Film-Induced Tourism,Modeling the Concept of Movie in a Software Architecture for Film-Induced Tourism	Farah Polato,Sandro Savino,Giulia Lavarone,Nicola Orio	\N	Crossref,Communications in Computer and Information Science ISBN: 9783319419374,IRCDL	2016-01-01
50|doi_________::be55f1d887480653eda2929e992fa487	10.1007/s12293-014-0144-8	An ensemble classification approach for melanoma diagnosis,An ensemble classification approach for melanoma diagnosis	Bartosz Krawczyk,M. Emre Celebi,Gerald Schaefer,Hitoshi Iyatomi	Memetic Computing	Crossref	2014-10-21
50|doi_dedup___::b08e212ace14cf66481e745624fd9ab9	10.1093/nar/gkr1179,22139911,PMC3245017	neXtProt: a knowledge platform for human proteins,neXtProt: a knowledge platform for human proteins	Alain Gateau,Lydie Lane,Catherine Zwahlen,Isabelle Cusin,Ghislaine Argoud-Puy,Olivier Evalet,Alexandre Masselot,Aurore Britan,Pascale Gaudet,Anne Gleizes,Amos Marc Bairoch,Paula D. Duek	Nucleic Acids Research	Crossref,ISSN: 0305-1048,Nucleic Acids Research, Vol. 40, No Database issue (2012) pp. D76-83	2011-12-01
50|doi_________::2c4a88f499c826d18a465019ac0da7bf	10.1109/icdar.2003.1227750	ICDAR 2003 page segmentation competition	A. Antonacopoulos,B. Gatos,D. Karatzas	Seventh International Conference on Document Analysis and Recognition, 2003. Proceedings.	Crossref	2005-04-12
50|doi_________::6c57881c249a738a0368d17a6c384813	10.1109/tmm.2008.2008924	Scene Detection in Videos Using Shot Clustering and Sequence Alignment,Scene Detection in Videos Using Shot Clustering and Sequence Alignment	Aristidis Likas,Nikolas P. Galatsanos,Vasileios Chasanis	IEEE Transactions on Multimedia	Crossref	2009-01-01
50|doi_dedup___::5737bf403e5752fb4e861539b7cc508c	10.1007/978-3-319-41938-1_15	A Content-Based Approach to Social Network Analysis: A Case Study on Research Communities,A Content-Based Approach to Social Network Analysis: A Case Study on Research Communities	Carlo Tasso,Maristella Agosti,Dante Degl'Innocenti,Marco Basaldella,Dario De Nart	\N	Crossref,Communications in Computer and Information Science ISBN: 9783319419374,IRCDL	2016-01-01
50|doi_dedup___::a92abc1d9dfa0c8dc6a1823ca370728f	10.1007/978-3-642-83952-8	Logic Programming and Databases	Stefano Ceri,Georg Gottlob,Letizia Tanca	\N	Crossref,Surveys in Computer Science ISBN: 9783642839542	1990-01-01
50|doi_________::11872c405fd890f3720e7131657b69d1	10.18653/v1/p16-4012	OpenDial: A Toolkit for Developing Spoken Dialogue Systems with Probabilistic Rules,OpenDial: A Toolkit for Developing Spoken Dialogue Systems with Probabilistic Rules	Pierre Lison,Casey Kennington	Proceedings of ACL-2016 System Demonstrations	Crossref,ACL (System Demonstrations)	2016-01-01
50|doi_________::5025dfbfcece95e58522c0a5711cd373	10.21236/ada439511	Concept Indexing: A Fast Dimensionality Reduction Algorithm With Applications to Document Retrieval and Categorization,Concept Indexing: A Fast Dimensionality Reduction Algorithm With Applications to Document Retrieval and Categorization	Eui-Hong Han,George Karypis	\N	Crossref	2000-03-06
50|doi_dedup___::3f4afc99fc37b6c80fc1c01ee7f594f9	10.1016/0022-2836(81)90087-5,7265238	Identification of common molecular subsequences.,Identification of common molecular subsequences	Temple F. Smith,Michael S. Waterman	Journal of Molecular Biology	Crossref	1981-03-01
50|doi_dedup___::a07588b75bfff4c33a7390cd86f5690a	10.1145/1631272.1631393	Improving automatic music tag annotation using stacked generalization of probabilistic SVM outputs,Improving automatic music tag annotation using stacked generalization of probabilistic SVM outputs	Steven R. Ness,George Tzanetakis,Luis Gustavo Martins,Anthony Theocharis	Proceedings of the 17th ACM international conference on Multimedia	Crossref,ACM Multimedia	2009-10-19
50|doi_________::763da8b19c5e7f2189b03cb528ca313f	10.1145/1839707.1839757	Augmenting Europeana content with linked data resources,Augmenting Europeana content with linked data resources	Bernhard Haslhofer,Elaheh Momeni,Manuel Gay,Rainer Simon	Proceedings of the 6th International Conference on Semantic Systems	Crossref,I-SEMANTICS	2010-09-01
50|doi_________::0d1aac7fdbbfa728bb28e6f959385ce7	10.18653/v1/n16-1055	An Unsupervised Model of Orthographic Variation for Historical Document Transcription.,An Unsupervised Model of Orthographic Variation for Historical Document Transcription	Dan Garrette,Hannah Alpert-Abrams	Proceedings of the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies	Crossref,HLT-NAACL	2016-01-01
50|doi_________::3b86bcef4949342aea27bd374bc49c8b	10.1017/cbo9780511753459	Patterns of Sounds,Patterns of Sounds	Maddieson	\N	Crossref,Patterns of sounds	1984-09-27
50|doi_________::b6c486afe36c3d648abcdd3a6607d5c6	10.1162/coli.2006.32.1.13	Evaluating WordNet-based Measures of Lexical Semantic Relatedness,Evaluating WordNet-based Measures of Lexical Semantic Relatedness	Graeme Hirst,Alexander Budanitsky	Computational Linguistics	Crossref	2006-03-01
50|doi_dedup___::8ee1cb0567a34e8eb01da7d523d233e7	10.5281/zenodo.1092205,10.5281/zenodo.1092204,10.25968/opus-934	Ontologies for Complex Event Processing	Irina Astrova,Arne Koschel,Jan Lukanowski,Jose Luis Munoz Martinez,Valerij Procenko,Marc Schaaf	\N		2014-01-01
50|doi_dedup___::f6a71ca5ddeacce19ce54b7ac1256fa1	10.2196/jmir.9.1.e5,17478414,PMC1874513	Assessing Consumer Health Vocabulary Familiarity: An Exploratory Study,Assessing Consumer Health Vocabulary Familiarity: An Exploratory Study	Alla Keselman,Allen C. Browne,Tony Tse,Long Ngo,Jon Crowell,Qing Zeng	Journal of Medical Internet Research	Crossref,Journal of Medical Internet Research, Vol 9, Iss 1, p e5 (2007)	2007-03-14
50|doi_________::f4765cd9ff89e8e7d22119b860ae7a89	10.1109/das.2008.40	A Two-Step Dewarping of Camera Document Images,A Two-Step Dewarping of Camera Document Images	Nikolaos Stamatopoulos,Basilis Gatos,Ioannis Pratikakis,Stavros Perantonis	2008 The Eighth IAPR International Workshop on Document Analysis Systems	Crossref,Document Analysis Systems	2008-09-01
50|doi_dedup___::04d0f3b0d340cdcc099b53dc5c37b020	10.1109/icdar.2011.19	Aletheia - An Advanced Document Layout and Text Ground-Truthing System for Production Environments,Aletheia - An Advanced Document Layout and Text Ground-Truthing System for Production Environments	Christian Clausner,Stefan Pletschacher,Apostolos Antonacopoulos	2011 International Conference on Document Analysis and Recognition	Crossref,ICDAR,University of Salford	2011-09-01
50|doi_dedup___::8a09fbe0715c073ca4228e1c4fe05346	10.1007/978-90-481-8845-1_12,1887/17578	Ontologies in the Legal Domain,Ontologies in the Legal Domain	Mommers, L.,Poli R., Seibt J.	\N	Crossref,Theory and Applications of Ontology: Philosophical Perspectives ISBN: 9789048188444,urn:isbn:978-90-481-8843-7,265,276,12,Theory and Applications of Ontology: Philosophical Perspectives,Theory and Applications of Ontology: Philosophical Perspectives, 265 - 276. Springer,STARTPAGE=265;ENDPAGE=276;TITLE=Theory and Applications of Ontology: Philosophical Perspectives	2010-01-01
50|doi_________::33620a8fef1f6701015230f000b0c6d5	10.1007/978-3-642-10291-2_11	Mathematical Symbol Indexing,Mathematical Symbol Indexing	Beatrice Miotti,Giovanni Soda,Simone Marinai	\N	Crossref,AI*IA 2009: Emergent Perspectives in Artificial Intelligence ISBN: 9783642102905,AI*IA	2009-01-01
50|doi_________::05c4344db549bb4acfb77cb2eb73865b	10.1002/asi.20601	Twenty-five years of end-user searching, Part 2: Future research directions	Karen Markey	Journal of the American Society for Information Science and Technology	Crossref	2007-01-01
50|doi_________::145e61b0db1ff40ba2fbb6414a64219e	10.1007/978-3-319-11964-9_4	Introducing Wikidata to the Linked Data Web,Introducing Wikidata to the Linked Data Web	Markus Krötzsch,Michael Günther,Julian Mendez,Denny Vrandeăić,Fredo Erxleben	\N	Crossref,The Semantic Web – ISWC 2014 ISBN: 9783319119632,Semantic Web Conference (1)	2014-01-01
50|doi_dedup___::115f148b68b6b768a3ccbaef2d6ee166	10.1007/978-3-642-15970-1_11,10.1007/978-3-662-43796-4_9	Linked Open Data,Linked Open Data	Liyang Yu	\N	Crossref,A Developer’s Guide to the Semantic Web ISBN: 9783642159695,A Developer’s Guide to the Semantic Web ISBN: 9783662437957	2010-11-25
50|doi_dedup___::ef38cc87aeb13f2412055a562cb55b19	10.3115/1075527.1075662,10.3115/1075671.1075788,10.3115/1075812.1075938,10.1145/219717.219748	a lexical database for English,WordNet: a lexical database for English,WordNet	George A. Miller	Proceedings of the workshop on Speech and Natural Language  - HLT '91	Crossref,HLT	1992-01-01
50|doi_dedup___::5c3fae7f5fe584075be883cc6f128925	10.1145/1275808.1276390,10.1145/3596711.3596776	Seam carving for content-aware image resizing,Seam carving for content-aware image resizing	Shai Avidan,Ariel Shamir	ACM SIGGRAPH 2007 papers	Crossref,Seminal Graphics Papers: Pushing the Boundaries, Volume 2 ISBN: 9798400708978	2007-07-29
50|doi_dedup___::df90246cd14f0da72eb2a9fb93381fd0	10.1016/j.jbi.2006.06.004,16875881	Measures of semantic similarity and relatedness in the biomedical domain,Measures of semantic similarity and relatedness in the biomedical domain	Serguei V. S. Pakhomov,Ted Pedersen,Christopher G. Chute,Siddharth Patwardhan	Journal of Biomedical Informatics	Crossref	2007-06-01
50|doi_________::32ada19033a910716cdc74c2238af841	10.1109/dbkda.2010.14	Discovering Informative Syntactic Relationships between Named Entities in Biomedical Literature,Discovering Informative Syntactic Relationships between Named Entities in Biomedical Literature	Annalisa Appice,Michelangelo Ceci,Corrado Loglisci	2010 Second International Conference on Advances in Databases, Knowledge, and Data Applications	Crossref,DBKDA	2010-01-01
50|doi_________::39dbc7425111ec2d389128d7ba155eb1	10.1002/asi.23358	Data Journals: A Survey,Data journals: A survey,Data journals: A survey	Leonardo Candela,Donatella Castelli,Alice Tani,Paolo Manghi	Journal of the Association for Information Science and Technology	Crossref	2015-01-30
50|doi_________::c7bd4c97fe04c0c4ee30870878f74f53	10.1007/11901181	25th International Conference on Conceptual Modeling, Tucson, AZ, USA, November 6-9, 2006. Proceedings,Conceptual Modeling - ER 2006,Conceptual Modeling - ER 2006	Antoni Olivé,Sudha Ram,David W. Embley	\N	Crossref,Lecture Notes in Computer Science ISBN: 9783540472247,Conceptual Modeling - ER 2006	2006-01-01
50|doi_dedup___::54b48a5dbbd13172482739cfe3bce092	10.1145/313238.313437,10.48550/arxiv.cs/9902007,cs/9902007	practical automatic keyphrase extraction,KEA: practical automatic keyphrase extraction,KEA	Craig G. Nevill-Manning,Eibe Frank,Gordon W. Paynter,Carl Gutwin,Ian H. Witten	Proceedings of the fourth ACM conference on Digital libraries	Crossref,ACM DL	1999-08-01
