id	pid	title	authors	venue	source	year
50|doi_________::db25de37e64182606a60af9d2c1bfa25	10.1016/0031-3203(95)00067-4	A comparative study of texture measures with classification based on featured distributions,A comparative study of texture measures with classification based on featured distributions	Timo Ojala,David Harwood,Matti Pietikäinen	Pattern Recognition	Crossref	1996-01-01
50|doi_dedup___::3ce5cc1f34fe72ecdf992afbca460dd1	10.3233/sw-120094	datos.bne.es: A library linked dataset,datos.bne.es: A library linked dataset	Daniel Vila-Suero,Boris Villazón-Terrazas,Asunción Gómez-Pérez	Semantic Web	Crossref,Semantic Web Journal, 2012,reponame:Archivo Digital UPM,instname:	2013-01-01
50|doi_dedup___::8a4c972d281a2dd4069530c84a5fe6e4	10.1007/s11257-007-9029-6	Adaptive, intelligent presentation of information for the museum visitor in PEACH,Adaptive, intelligent presentation of information for the museum visitor in PEACH	Charles B. Callaway,Paolo Busetta,Massimo Zancanaro,Antonio Krüger,Oliviero Stock,Tsvi Kuflik,Elena Not,Cesare Rocchi,Michael Kruppa	User Modeling and User-Adapted Interaction	Crossref	2007-04-25
50|doi_________::39e3dacaf866e5e550c7ecc73bd61766	10.4304/jcp.7.12.2913-2920	An Improved Random Forest Classifier for Text Categorization,An Improved Random Forest Classifier for Text Categorization	Xiufeng Guo,Yunming Ye,Jiefeng Cheng,Baoxun Xu	Journal of Computers	Crossref	2012-12-01
50|doi_________::6c7908697c61f0547fc04e154c53ff46	10.4000/mimesis.690	A formal modeling proposal,Conceptual Models for Intangible Art A formal modeling proposal,Conceptual Models for Intangible Art	Antonio Lieto,Vanessa Michielon,Rossana Damiano	Mimesis Journal	Crossref	2014-12-01
50|doi_dedup___::7044a590a989afe203e2f861dcc6f30d	10.1007/978-3-642-15754-7_2	CLEF 2009 ad hoc track overview: TEL and Persian tasks,CLEF 2009 Ad Hoc Track Overview: TEL and Persian Tasks	Carol Peters,Nicola Ferro	\N	Crossref,Lecture Notes in Computer Science ISBN: 9783642157530,CLEF (Working Notes),Multilingual Information Access Evaluation I. Text Retrieval Experiments. CLEF 2009. vol. I, edited by Carol Peters, Giorgio Maria Di Nunzio, Mikko Kurimo, Djamel Mostefa, Anselmo Penas, Giovanna Roda, pp. 13–35, 2010,info:cnr-pdr/source/autori:Peters C.; Ferro N./titolo:CLEF 2009 ad hoc track overview: TEL and Persian Tasks/titolo_volume:Multilingual Information Access Evaluation I. Text Retrieval Experiments. CLEF 2009. vol. I/curatori_volume:Carol Peters, Giorgio Maria Di Nunzio, Mikko Kurimo, Djamel Mostefa, Anselmo Penas, Giovanna Roda/editore:/anno:2010	2010-01-01
50|doi_________::b5c85d6643f4634eb555de2d4e2fd4fb	10.1109/icdar.2011.57	Data Extraction from Web Tables: The Devil is in the Details,Data Extraction from Web Tables: The Devil is in the Details	Dongpu Jin,George Nagy,Mukkai S. Krishnamoorthy,Spencer Machado,David W. Embley,Sharad C. Seth	2011 International Conference on Document Analysis and Recognition	Crossref,ICDAR	2011-09-01
50|doi_dedup___::5dd5d8a857ad6bc95dc2df36ac205d51	10.1371/journal.pbio.1002003,25423184,PMC4244028	Alternative Perspectives on Impact: The Potential of ALMs and Altmetrics to Inform Funders about Research Impact,Alternative Perspectives on Impact: The Potential of ALMs and Altmetrics to Inform Funders about Research Impact	Liz Allen,Kevin Dolby,Adam Dinsmore	PLoS Biology	Crossref,PLoS Biology, Vol 12, Iss 11, p e1002003 (2014)	2014-11-25
50|doi_dedup___::16a1b8b978e3484f5baddb268905b558	10.1045/march2009-holley	Analysing and Improving OCR Accuracy in Large Scale Historic Newspaper Digitisation Programs,How good can it get? Analysing and improving OCR accuracy in large scale historic newspaper digitisation programs,How Good Can It Get?	Rose Holley	D-Lib Magazine	Crossref	2009-03-01
50|doi_dedup___::1d044a65b30ac99744b2d7d165d6cac5	10.1007/978-3-642-33876-2_12	Knowledge extraction based on discourse representation theory and linguistic frames,Knowledge Extraction Based on Discourse Representation Theory and Linguistic Frames	Francesco Draicchio,Aldo Gangemi,Valentina Presutti	\N	Crossref,Lecture Notes in Computer Science ISBN: 9783642338755,EKAW,Conference on Knowledge Engineering and Knowledge Management, Galway, Ireland, 2012,info:cnr-pdr/source/autori:Valentina Presutti, Francesco Draicchio and Aldo Gangemi/congresso_nome:Conference on Knowledge Engineering and Knowledge Management/congresso_luogo:Galway, Ireland/congresso_data:2012/anno:2012/pagina_da:/pagina_a:/intervallo_pagine:	2012-01-01
50|doi_________::69855f780b946b8550d5ab1593931728	10.1177/034003529201800401	Series IFLA Publications,International Federation of Library Associations and Institutions,International Federation of Library Associations and Institutions	Carol Henry	IFLA Journal	Crossref	1992-12-01
50|doi_________::88c6ecc5283f3e4f3e9367f98a718dc8	10.1109/icdar.2011.274	Functional-Based Table Category Identification in Digital Library,Functional-Based Table Category Identification in Digital Library	Ying Liu,Seongchan Kim	2011 International Conference on Document Analysis and Recognition	Crossref,ICDAR	2011-09-01
50|doi_dedup___::54a70f0d697a41a764a2dcacde4fd711	10.1109/hicss.2014.377	Does Gamification Work? -- A Literature Review of Empirical Studies on Gamification,Does Gamification Work? -- A Literature Review of Empirical Studies on Gamification	Hamari, Juho,Koivisto, Jonna,Sarsa,Harri	2014 47th Hawaii International Conference on System Sciences	Crossref,HICSS	2014-01-01
